Designator,Footprint,Quantity,Value,LCSC Part #
"C1.0, C1.1, C1.2, C4.0, C4.1, C4.2",0402,6,20pf,C1554
"C10.0, C13.0, C14.0, C15.0, C16.0, C17.0, C18.0, C19.0, C2.0, C2.1, C2.2, C20.0, C3.0, C3.1, C3.2, C6.0, C9.0, C9.1, C9.2",0402,19,0.1uF,C77020
"C11.0, C11.1, C11.2, C12.0, C12.1, C12.2, C8.0, C8.1, C8.2",0402,9,22uf,C415703
"C5.0, C5.1, C5.2, C7.0",0805,4,10uF,C162422
"D1.0, D1.1, D1.2, D2.0, D2.1, D2.2, D3.0, D3.1, D4.0, D4.1, D4.2",D_SOD-323,11,1N5819WS,C191023
"J1.0, J1.1, J1.2",TestPoint_Pad_1.0x1.0mm_6pad,3,Conn_01x06_Pin,DNP
"J2.0, J2.1, J2.2",JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,3,SM12B-GHS-TB(LF)(SN),C265421
"JP1.1, JP10.1, JP11.1, JP12.1, JP2.1, JP3.1, JP4.1, JP5.1, JP6.1, JP7.1, JP8.1, JP9.1",SolderJumper-3_P1.3mm_BridgedSMD12_0402,12,0R,C102746
"K1.2, K2.2",Relay_DPDT_Omron_G6K-2F-Y,2,G6K-2F-Y,C93168
"KiKit_MB_1_1, KiKit_MB_1_2, KiKit_MB_1_3, KiKit_MB_1_4, KiKit_MB_1_5, KiKit_MB_2_1, KiKit_MB_2_2, KiKit_MB_2_3, KiKit_MB_2_4, KiKit_MB_2_5, KiKit_MB_3_1, KiKit_MB_3_2, KiKit_MB_3_3, KiKit_MB_3_4, KiKit_MB_3_5, KiKit_MB_4_1, KiKit_MB_4_2, KiKit_MB_4_3, KiKit_MB_4_4, KiKit_MB_4_5, KiKit_MB_5_1, KiKit_MB_5_2, KiKit_MB_5_3, KiKit_MB_5_4, KiKit_MB_5_5, KiKit_MB_6_1, KiKit_MB_6_2, KiKit_MB_6_3, KiKit_MB_6_4, KiKit_MB_6_5, KiKit_MB_7_1, KiKit_MB_7_2, KiKit_MB_7_3, KiKit_MB_7_4, KiKit_MB_7_5, KiKit_MB_8_1, KiKit_MB_8_2, KiKit_MB_8_3, KiKit_MB_8_4, KiKit_MB_8_5",NPTH,40,NPTH,
"L1.0, L1.1, L1.2",1008,3,4.7uH,C82314
"R1.0, R1.1, R1.2, R10.2, R11.2, R12.0, R12.2, R16.0, R2.0, R2.1, R2.2, R3.0, R3.1, R4.0, R4.1, R4.2, R5.0, R5.1, R5.2, R6.0, R6.1, R7.2, R8.2, R9.2",0402,24,10K,C25744
"R10.0, R11.0, R8.0, R9.0",0402,4,499R,C4125
"R13.0, R13.1",0402,2,100R,C25076
"R14.0, R14.1, R14.2",0402,3,182k,C11481
"R15.0, R15.1, R15.2",0402,3,62k,C137950
"R7.0, R7.1",0402,2,309k,C159040
"U1.0, U1.1, U1.2",TSOT-23-6,3,AP63201WU,C2071044
U2.0,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
"U2.1, U2.2",SOIC-16_3.9x9.9mm_P1.27mm,2,TBD62003AFWG,C114084
"U3.0, U3.1, U3.2",ESP32-C3-WROOM-02,3,ESP32-C3-WROOM-02,C2934560
U4.0,SOT-23-5,1,LP5907MFX-3.0,C475492
U5.0,SOT-23-6,1,MCP4725xxx-xCH,C144198
"Y1.0, Y1.1, Y1.2",Crystal_SMD_3215-2Pin_3.2x1.5mm,3,32.768khz 3215 12.5pf,C32346
