Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,LCSC Part #,Generic
"C1.0, C1.1, C1.2, C1.3, C1.4, C1.5, C4.0, C4.1, C4.2, C4.3, C4.4, C4.5",12,20pf,C_0402_1005Metric,,0402CG200J500NT,,smt,C1554,x
"C10.0, C10.3, C13.0, C13.3, C14.0, C14.3, C15.0, C15.3, C16.0, C16.3, C17.0, C17.3, C18.0, C18.3, C2.0, C2.1, C2.2, C2.3, C2.4, C2.5, C3.0, C3.1, C3.2, C3.3, C3.4, C3.5, C6.0, C6.3, C9.0, C9.1, C9.2, C9.3, C9.4, C9.5",34,0.1uF,C_0402_1005Metric,,GRM155R71H104KE14D,,smt,C77020,x
"C11.0, C11.1, C11.2, C11.3, C11.4, C11.5, C12.0, C12.1, C12.2, C12.3, C12.4, C12.5, C8.0, C8.1, C8.2, C8.3, C8.4, C8.5",18,22uf,C_0402_1005Metric,,GRM155R60J226ME11D,,smt,C415703,x
C19.0,1,0.1uF,C_0402_1005Metric,,GRM155R71H104KE14D,Yes,smt,C77020,x
C19.3,1,0.1uF,C_0402_1005Metric,,GRM155R71H104KE14D,Yes,smt,C77020,x
C20.0,1,0.1uF,C_0402_1005Metric,,GRM155R71H104KE14D,Yes,smt,C77020,x
C20.3,1,0.1uF,C_0402_1005Metric,,GRM155R71H104KE14D,Yes,smt,C77020,x
"C5.0, C5.1, C5.2, C5.3, C5.4, C5.5, C7.0, C7.3",8,10uF,C_0805_2012Metric,,GRM21BR6YA106KE43L,,smt,C162422,x
"D1.0, D1.1, D1.2, D1.3, D1.4, D1.5, D2.0, D2.1, D2.2, D2.3, D2.4, D2.5, D3.0, D3.1, D3.3, D3.4, D4.0, D4.1, D4.2, D4.3, D4.4, D4.5",22,1N5819WS,D_SOD-323,,1N5819WS,,smt,C191023,
"J1.0, J1.1, J1.2, J1.3, J1.4, J1.5",6,Conn_01x06_Pin,TestPoint_Pad_1.0x1.0mm_6pad,,,,tht,DNP,
"J2.0, J2.1, J2.2, J2.3, J2.4, J2.5",6,SM12B-GHS-TB(LF)(SN),JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,,SM12B-GHS-TB(LF)(SN),,smt,C265421,
"JP1.1, JP1.4, JP10.1, JP10.4, JP11.1, JP11.4, JP12.1, JP12.4, JP2.1, JP2.4, JP3.1, JP3.4, JP4.1, JP4.4, JP5.1, JP5.4, JP6.1, JP6.4, JP7.1, JP7.4, JP8.1, JP8.4, JP9.1, JP9.4",24,0R,SolderJumper-3_P1.3mm_BridgedSMD12_0402,,RTT02000JTH,,tht,C102746,x
"K1.2, K1.5, K2.2, K2.5",4,G6K-2F-Y,Relay_DPDT_Omron_G6K-2F-Y,,G6K-2F-Y DC3,,smt,C93168,
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3",6,Fiducial,Fiducial,,,,smt,,
