pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
33.685,-13.392,180.0,top,C1.0,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
33.685,-37.392,180.0,top,C1.1,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
33.926035,-70.752911,180.0,top,C1.2,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
50.115,-27.608,0.0,top,C1.3,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
50.115,-51.608,0.0,top,C1.4,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
49.873965,-66.247089,0.0,top,C1.5,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
26.0,-22.3,90.0,top,C10.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
57.8,-18.7,-90.0,top,C10.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
32.415,-29.080164,90.0,top,C11.0,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
32.415,-53.080164,90.0,top,C11.1,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
33.25,-77.568462,90.0,top,C11.2,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
51.385,-11.919836,-90.0,top,C11.3,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
51.385,-35.919836,-90.0,top,C11.4,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
50.55,-59.431538,-90.0,top,C11.5,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
22.434483,-29.138759,180.0,top,C12.0,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
22.434483,-53.138759,180.0,top,C12.1,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
20.322269,-72.665111,-90.0,top,C12.2,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
61.365517,-11.861241,0.0,top,C12.3,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
61.365517,-35.861241,0.0,top,C12.4,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
63.477731,-64.334889,90.0,top,C12.5,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
22.49,-23.735,180.0,top,C13.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
61.31,-17.265,0.0,top,C13.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
25.663778,-14.987358,90.0,top,C14.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
58.136222,-26.012642,-90.0,top,C14.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
20.99,-17.255,-90.0,top,C15.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
62.81,-23.745,90.0,top,C15.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
20.99,-19.005,90.0,top,C16.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
62.81,-21.995,-90.0,top,C16.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
20.99,-20.755,-90.0,top,C17.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
62.81,-20.245,90.0,top,C17.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
20.99,-22.735,90.0,top,C18.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
62.81,-18.265,-90.0,top,C18.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
20.0,-18.55,-90.0,top,C19.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
63.8,-22.45,90.0,top,C19.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
21.395953,-24.744221,180.0,top,C2.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
21.395953,-48.744221,180.0,top,C2.1,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
15.927731,-73.703641,-90.0,top,C2.2,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
62.404047,-16.255779,0.0,top,C2.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
62.404047,-40.255779,0.0,top,C2.4,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
67.872269,-63.296359,90.0,top,C2.5,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
19.99,-21.735,-90.0,top,C20.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
63.81,-19.265,90.0,top,C20.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
33.685,-29.07555,90.0,top,C3.0,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
33.685,-53.07555,90.0,top,C3.1,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
34.225188,-77.563848,90.0,top,C3.2,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
50.115,-11.92445,-90.0,top,C3.3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
50.115,-35.92445,-90.0,top,C3.4,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
49.574812,-59.436152,-90.0,top,C3.5,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
31.78,-13.392,180.0,top,C4.0,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
